employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted
20798,HR,region_20,Bachelor's,f,sourcing,1,28,2,6,0,0,52,1
69094,Sales & Marketing,region_2,,m,sourcing,1,39,1,9,0,0,49,1
22261,Procurement,region_7,Master's & above,m,sourcing,1,32,5,3,1,0,69,0
9589,Sales & Marketing,region_31,Bachelor's,f,other,1,31,,1,0,0,51,1
62658,Sales & Marketing,region_2,,f,sourcing,1,20,,1,0,0,55,1
21628,Analytics,region_12,Bachelor's,m,other,1,34,3,8,0,0,85,1
68484,Procurement,region_2,Master's & above,m,sourcing,2,46,4,3,1,0,74,1
44523,HR,region_2,Master's & above,m,other,1,47,3,7,0,0,44,1
35420,Operations,region_2,Bachelor's,f,other,1,44,4,13,0,0,53,1
43923,Analytics,region_14,Bachelor's,m,sourcing,1,31,4,4,1,0,86,1
64109,Technology,region_26,Bachelor's,f,sourcing,1,23,,1,0,0,77,1
41983,Operations,region_2,Bachelor's,f,sourcing,1,33,3,5,0,0,57,1
21440,Sales & Marketing,region_31,Bachelor's,m,other,1,41,3,12,1,0,52,1
51256,Finance,region_2,Master's & above,m,other,1,60,5,17,0,0,59,1
66635,Operations,region_15,Bachelor's,m,other,1,31,5,4,1,0,63,0
16027,Operations,region_26,Bachelor's,f,other,1,37,3,11,0,0,57,1
46020,Analytics,region_7,Bachelor's,m,sourcing,2,39,3,4,1,0,83,1
28509,Sales & Marketing,region_7,Bachelor's,m,other,1,40,5,8,1,0,54,1
33587,Sales & Marketing,region_28,Master's & above,m,sourcing,1,42,5,4,0,0,50,1
21387,Operations,region_13,Bachelor's,m,other,1,35,4,6,1,0,57,0
55927,Operations,region_13,Master's & above,f,sourcing,1,41,4,6,1,0,62,1
60763,Procurement,region_2,Bachelor's,f,other,1,23,3,2,0,0,73,1
53167,Sales & Marketing,region_16,Bachelor's,m,sourcing,2,31,3,4,0,0,50,1
32672,Analytics,region_22,Master's & above,m,other,1,42,2,19,0,0,79,1
48785,Sales & Marketing,region_22,Bachelor's,m,other,3,29,4,2,0,0,49,1
51444,HR,region_13,Bachelor's,f,other,1,30,,1,1,0,54,1
75778,Operations,region_2,Bachelor's,m,sourcing,1,41,4,6,1,0,63,1
14141,Sales & Marketing,region_7,Bachelor's,f,other,1,40,3,2,1,0,90,0
17894,Sales & Marketing,region_2,Bachelor's,m,referred,1,34,5,5,0,0,49,1
54380,Sales & Marketing,region_4,Bachelor's,f,other,1,31,4,2,0,0,46,1
51892,Technology,region_2,Bachelor's,m,other,1,27,5,2,0,0,86,0
3625,Procurement,region_21,Bachelor's,m,sourcing,4,30,3,2,0,0,72,1
38771,Procurement,region_23,Bachelor's,f,other,1,27,4,4,1,0,72,0
18959,Technology,region_15,Bachelor's,m,other,4,36,4,7,0,0,82,1
21137,Technology,region_2,Bachelor's,m,sourcing,1,35,4,6,0,0,77,1
26097,Sales & Marketing,region_25,Master's & above,m,other,1,34,5,7,1,0,51,0
38052,Procurement,region_34,Master's & above,m,sourcing,1,37,5,3,0,1,92,0
41746,Operations,region_22,Bachelor's,f,sourcing,1,27,,1,1,0,58,1
72744,Procurement,region_2,Master's & above,m,sourcing,2,47,3,5,1,0,71,1
5461,Analytics,region_8,Bachelor's,m,other,1,28,,1,1,0,83,1
15227,Procurement,region_27,Master's & above,f,other,1,40,5,5,0,0,68,1
66874,Sales & Marketing,region_27,Bachelor's,f,other,1,30,,1,0,0,50,1
42068,Operations,region_1,Master's & above,m,other,1,38,5,9,1,0,61,1
54825,Sales & Marketing,region_25,Bachelor's,m,other,1,30,3,2,0,0,47,1
77709,Sales & Marketing,region_11,Bachelor's,f,sourcing,1,28,5,3,0,0,46,1
43712,Procurement,region_22,Bachelor's,m,sourcing,2,28,5,4,1,0,67,1
74783,Operations,region_29,Bachelor's,m,sourcing,1,35,4,7,0,0,58,1
19318,Analytics,region_22,Bachelor's,m,other,1,32,3,8,0,0,89,0
12096,Sales & Marketing,region_26,Master's & above,m,sourcing,1,36,5,8,0,0,50,1
5102,Operations,region_7,Bachelor's,m,sourcing,1,24,,1,1,0,56,1
29521,Technology,region_15,Bachelor's,m,other,1,27,3,4,1,0,78,1
36371,Finance,region_28,Master's & above,m,other,2,34,3,7,0,0,56,1
51164,Technology,region_14,Bachelor's,f,other,1,31,4,4,1,1,78,1
17812,Technology,region_27,Bachelor's,f,sourcing,1,30,4,2,0,0,77,1
7606,Technology,region_29,Bachelor's,f,other,2,30,3,7,1,1,76,1
50593,Finance,region_23,Bachelor's,m,sourcing,1,31,,1,1,0,56,1
73735,Analytics,region_25,Bachelor's,m,other,1,30,5,3,1,0,84,1
29313,Finance,region_22,Bachelor's,m,sourcing,1,28,3,2,0,0,57,1
40262,Technology,region_2,Bachelor's,m,other,2,28,3,5,0,0,81,1
36904,Sales & Marketing,region_15,Bachelor's,m,other,1,29,3,2,0,0,51,1
62552,Sales & Marketing,region_22,Master's & above,m,sourcing,1,46,3,11,1,0,51,1
63285,Technology,region_29,Bachelor's,m,sourcing,1,31,5,4,1,0,80,1
74203,Procurement,region_5,Bachelor's,m,sourcing,1,28,1,4,0,0,72,1
75344,Sales & Marketing,region_4,Master's & above,m,other,1,31,4,6,0,0,50,1
74018,HR,region_7,Master's & above,f,other,1,37,3,9,0,0,48,1
34985,Technology,region_5,Bachelor's,f,other,2,34,5,8,0,0,88,0
35930,Procurement,region_2,Bachelor's,m,sourcing,1,25,5,3,1,0,70,0
6708,Operations,region_22,Master's & above,m,sourcing,1,40,4,4,1,0,57,1
5515,Operations,region_13,Master's & above,m,other,1,43,3,7,1,0,56,0
53373,Operations,region_13,Bachelor's,m,other,1,36,1,5,0,0,56,1
69316,Legal,region_29,Bachelor's,m,sourcing,1,29,3,3,0,0,63,1
41009,Finance,region_13,Bachelor's,m,sourcing,2,35,3,2,0,0,56,1
50622,Analytics,region_25,Master's & above,m,other,1,34,5,2,0,0,84,1
30106,Sales & Marketing,region_16,Bachelor's,f,sourcing,1,32,4,4,1,0,45,1
45157,HR,region_4,Bachelor's,m,other,1,27,,1,1,0,50,1
23523,Technology,region_26,Bachelor's,m,sourcing,1,29,3,5,0,0,75,1
74349,Sales & Marketing,region_5,Bachelor's,m,sourcing,1,34,1,4,0,0,48,1
70543,Procurement,region_2,Master's & above,m,sourcing,1,37,5,7,1,0,70,1
42245,Procurement,region_22,Bachelor's,f,other,1,33,3,3,1,0,73,1
34405,Procurement,region_2,Master's & above,f,other,1,33,5,4,1,0,67,1
4134,Sales & Marketing,region_16,Bachelor's,f,other,1,39,1,8,0,0,45,1
23599,Technology,region_23,Master's & above,m,other,1,34,4,7,0,0,82,1
942,Technology,region_22,Bachelor's,m,other,2,32,4,6,0,0,84,1
5281,Sales & Marketing,region_7,Master's & above,m,other,1,34,4,6,0,0,53,1
197,Finance,region_12,Bachelor's,m,other,1,29,5,6,1,0,61,1
37574,Sales & Marketing,region_2,Bachelor's,m,sourcing,2,28,1,2,0,0,50,1
26773,Technology,region_7,Bachelor's,f,other,1,28,2,5,0,0,75,1
70034,Procurement,region_2,Master's & above,f,other,2,35,3,9,0,0,70,1
40565,Technology,region_2,Bachelor's,f,other,2,40,3,3,0,0,86,1
17193,Sales & Marketing,region_2,Bachelor's,f,other,2,27,2,4,0,0,54,1
76550,Procurement,region_22,Bachelor's,f,other,3,26,3,3,1,0,70,1
53841,Operations,region_2,Bachelor's,m,sourcing,1,43,2,12,0,0,57,1
28314,Finance,region_26,Bachelor's,m,other,1,23,,1,0,0,61,1
30196,Analytics,region_25,Bachelor's,m,sourcing,1,29,5,6,1,0,84,1
29757,Sales & Marketing,region_14,Bachelor's,m,sourcing,1,43,3,15,0,0,51,1
6073,Sales & Marketing,region_2,Bachelor's,m,sourcing,3,27,4,4,0,0,49,1
9863,Procurement,region_27,Bachelor's,m,sourcing,1,26,4,4,1,0,70,1
34306,Procurement,region_13,Bachelor's,f,other,1,31,5,5,1,0,72,1
34041,Operations,region_7,Bachelor's,m,other,1,40,4,11,0,0,58,1
21356,Operations,region_15,Bachelor's,f,other,2,39,5,12,1,0,55,1
29540,Operations,region_2,Bachelor's,f,other,2,30,3,6,0,0,57,1
51669,Technology,region_2,Master's & above,m,other,1,47,4,4,1,0,77,1
33825,Sales & Marketing,region_17,Bachelor's,m,other,1,34,4,7,1,0,48,0
6254,Operations,region_2,,f,other,1,33,4,9,0,0,64,1
11645,Sales & Marketing,region_23,Master's & above,m,other,1,41,5,7,0,0,51,1
3231,Technology,region_7,Bachelor's,m,other,1,29,1,4,0,0,80,1
7030,Analytics,region_31,Bachelor's,f,other,1,32,3,4,0,0,86,1
54198,Procurement,region_7,Master's & above,f,other,1,47,5,9,0,0,68,1
62293,Operations,region_27,Bachelor's,m,other,1,35,4,3,0,0,65,1
25312,Technology,region_22,Bachelor's,m,other,1,27,4,2,0,0,75,1
75610,Analytics,region_32,Bachelor's,m,other,1,29,1,3,0,0,81,1
16518,Sales & Marketing,region_20,Bachelor's,m,sourcing,2,36,3,9,0,0,49,1
42747,Sales & Marketing,region_15,Bachelor's,m,other,2,35,1,8,0,0,39,1
67980,Procurement,region_2,Bachelor's,f,sourcing,2,34,3,2,0,0,70,1
53630,Sales & Marketing,region_23,Master's & above,f,sourcing,1,34,4,5,1,1,94,0
72423,Operations,region_2,Master's & above,m,sourcing,1,39,3,2,1,0,60,1
73022,Sales & Marketing,region_25,Bachelor's,m,other,1,26,5,2,1,0,51,1
63976,Operations,region_31,Bachelor's,f,sourcing,1,30,5,4,0,0,56,1
60761,Operations,region_16,,f,other,1,31,4,2,0,0,62,1
57228,HR,region_2,Master's & above,m,sourcing,1,44,5,6,0,0,48,1
14912,Sales & Marketing,region_1,Bachelor's,m,other,1,38,3,4,1,0,49,1
22725,Technology,region_26,Bachelor's,m,other,1,40,1,3,0,0,78,1
18981,Legal,region_2,Master's & above,m,sourcing,1,50,5,6,0,1,58,1
50845,Procurement,region_19,Master's & above,m,other,1,44,3,12,0,0,70,1
11800,Procurement,region_2,Below Secondary,f,other,1,23,1,2,0,0,69,1
16351,Sales & Marketing,region_7,Master's & above,f,sourcing,1,36,1,2,0,0,53,1
75881,Analytics,region_27,Bachelor's,m,sourcing,1,25,1,4,0,0,80,1
73200,Operations,region_28,Bachelor's,m,sourcing,1,34,5,4,1,0,58,1
17833,Analytics,region_4,Bachelor's,m,sourcing,1,28,,1,0,0,85,1
58338,Analytics,region_1,Bachelor's,m,other,2,30,5,6,1,0,81,1
40187,Procurement,region_12,Bachelor's,m,sourcing,1,35,1,8,0,0,67,1
70193,Analytics,region_6,Bachelor's,m,sourcing,1,33,4,8,0,0,86,1
27188,Analytics,region_13,Master's & above,m,other,1,30,3,4,1,0,80,1
24291,Analytics,region_26,Bachelor's,m,other,2,27,5,3,1,0,85,1
43676,Procurement,region_2,Bachelor's,m,other,4,29,,1,0,0,68,1
52231,Operations,region_2,Bachelor's,m,sourcing,1,43,3,3,0,0,58,1
34241,Analytics,region_22,Bachelor's,m,other,2,28,3,5,1,0,86,1
76661,Procurement,region_17,Bachelor's,m,other,1,31,5,3,1,0,68,1
50595,Operations,region_2,Bachelor's,f,other,1,43,4,12,0,0,58,1
67673,Operations,region_4,Bachelor's,f,other,1,35,5,9,1,0,60,1
10547,Sales & Marketing,region_5,Bachelor's,m,other,2,35,3,9,0,0,49,1
73405,Operations,region_2,Master's & above,m,other,1,50,3,8,1,0,59,1
73114,HR,region_17,Bachelor's,f,other,1,26,4,3,0,0,50,1
22572,Sales & Marketing,region_27,Bachelor's,m,sourcing,1,32,3,5,1,0,52,1
62923,Operations,region_13,Master's & above,f,other,1,38,5,2,1,1,93,0
57235,Sales & Marketing,region_26,,m,other,1,22,4,2,0,0,51,1
22300,HR,region_20,Bachelor's,m,other,1,28,,1,1,0,52,1
24090,Procurement,region_14,Bachelor's,f,sourcing,1,37,3,9,0,0,69,1
57298,Analytics,region_2,Bachelor's,m,sourcing,2,54,3,9,1,0,86,1
25629,Sales & Marketing,region_11,Bachelor's,m,sourcing,1,36,3,8,0,0,51,1
71339,Technology,region_6,Bachelor's,m,other,1,35,3,8,0,0,78,1
54714,Analytics,region_29,Bachelor's,m,other,1,39,3,4,1,0,85,1
7390,Operations,region_12,Bachelor's,f,sourcing,1,31,5,4,1,0,63,1
9563,Operations,region_31,Bachelor's,m,other,2,38,3,7,1,1,60,1
39107,Sales & Marketing,region_22,Bachelor's,m,sourcing,1,28,1,2,0,0,48,1
19445,Sales & Marketing,region_7,Bachelor's,m,sourcing,3,26,2,3,0,0,52,1
42636,Sales & Marketing,region_26,Bachelor's,m,sourcing,1,29,,1,0,0,54,1
32557,Analytics,region_20,Bachelor's,m,sourcing,1,30,3,4,0,0,84,1
43396,Operations,region_22,Bachelor's,m,sourcing,2,37,2,4,1,0,57,0
24414,R&D,region_2,,m,other,1,25,,1,1,0,76,1
63237,Technology,region_22,Bachelor's,m,referred,1,26,4,2,0,0,82,1
32838,Technology,region_7,Bachelor's,m,other,1,31,4,4,0,0,78,1
23003,Technology,region_14,Bachelor's,f,other,1,38,5,7,1,0,82,1
45198,Sales & Marketing,region_13,Bachelor's,m,other,1,39,4,9,0,0,49,1
40376,Sales & Marketing,region_4,Bachelor's,m,other,1,30,5,4,0,1,50,1
60176,Procurement,region_15,Master's & above,f,other,1,34,5,8,1,0,67,1
67652,Procurement,region_23,Master's & above,f,other,1,33,3,5,1,0,72,1
15476,Technology,region_2,Bachelor's,f,other,1,29,5,3,1,0,78,1
55811,Operations,region_2,Bachelor's,m,sourcing,1,28,4,2,1,0,61,1
15737,Finance,region_22,Bachelor's,m,sourcing,1,24,,1,0,0,56,1
10058,Analytics,region_22,Bachelor's,m,other,2,26,4,2,1,0,87,1
73435,Legal,region_22,Bachelor's,m,sourcing,1,34,5,4,0,0,64,1
51255,Sales & Marketing,region_27,Bachelor's,m,sourcing,1,35,3,7,0,0,46,1
70060,Technology,region_13,Master's & above,m,other,1,43,3,14,0,0,79,1
51473,Sales & Marketing,region_15,Bachelor's,m,other,1,34,1,8,0,0,39,1
71904,Technology,region_7,Master's & above,f,other,2,38,3,10,0,0,88,1
76080,Operations,region_7,Bachelor's,f,other,1,34,1,5,0,0,54,1
33357,Operations,region_22,Bachelor's,m,sourcing,1,41,4,4,0,0,63,1
53502,Finance,region_7,Bachelor's,m,sourcing,2,29,1,4,0,0,61,1
26409,Operations,region_2,Bachelor's,m,other,1,33,4,3,0,0,61,1
59608,Sales & Marketing,region_2,Master's & above,f,other,1,41,4,5,1,0,48,1
28687,Operations,region_2,Master's & above,m,other,3,38,3,11,0,0,57,1
34312,Procurement,region_2,Master's & above,f,other,2,54,4,23,0,0,66,1
11438,Sales & Marketing,region_13,Master's & above,f,sourcing,2,34,2,8,0,0,49,1
11794,R&D,region_2,Bachelor's,m,other,2,26,5,3,1,0,87,1
48756,Operations,region_7,Bachelor's,f,sourcing,1,35,5,3,0,0,59,1
35873,Legal,region_2,Below Secondary,m,other,1,28,,1,0,0,62,1
13970,Operations,region_33,Master's & above,m,other,1,36,3,4,0,0,60,1
49868,Technology,region_5,Bachelor's,m,other,1,45,3,15,0,0,87,1
25261,Procurement,region_7,Master's & above,m,other,1,38,4,7,0,0,66,1
44536,Sales & Marketing,region_27,Bachelor's,f,other,1,26,2,4,0,0,47,1
55550,Analytics,region_27,,m,sourcing,1,31,3,4,0,0,85,1
27989,Analytics,region_34,Bachelor's,m,sourcing,1,32,3,7,0,0,87,1
12598,Analytics,region_6,Bachelor's,m,sourcing,1,29,4,4,0,0,78,1
32877,Sales & Marketing,region_2,Bachelor's,f,other,1,40,3,12,0,0,50,1
30682,Technology,region_2,Bachelor's,m,referred,2,29,4,6,0,0,75,1
1829,Analytics,region_28,Bachelor's,m,other,2,31,5,7,1,0,87,1
2177,Finance,region_16,Bachelor's,m,other,1,32,5,6,1,0,58,1
51771,Operations,region_17,Bachelor's,m,other,1,42,5,11,0,0,67,1
26026,Procurement,region_15,Bachelor's,f,sourcing,1,30,5,3,1,0,65,1
64977,Procurement,region_16,Bachelor's,f,other,1,24,3,2,1,0,70,1
44585,Sales & Marketing,region_30,Bachelor's,m,sourcing,1,35,3,7,0,0,56,1
43562,Technology,region_5,Bachelor's,f,sourcing,2,32,1,3,0,0,80,1
56287,HR,region_2,Bachelor's,f,sourcing,1,22,3,2,0,0,47,1
19100,Sales & Marketing,region_2,Bachelor's,m,sourcing,2,44,5,14,0,0,48,1
58203,Operations,region_16,Bachelor's,m,other,2,39,3,9,0,0,58,1
12504,Technology,region_7,Bachelor's,f,other,1,46,4,17,0,0,85,1
49126,Technology,region_15,Bachelor's,m,other,1,29,2,5,0,0,77,1
66469,Finance,region_7,Bachelor's,m,other,1,26,1,3,0,0,59,1
53350,Operations,region_23,Bachelor's,m,other,1,35,4,5,0,0,61,1
22031,Procurement,region_2,Bachelor's,f,other,1,29,4,2,1,0,95,0
36185,Technology,region_13,Bachelor's,m,sourcing,1,30,2,9,0,0,79,1
58415,Sales & Marketing,region_7,Bachelor's,m,other,1,45,4,5,0,0,50,1
71763,Sales & Marketing,region_15,Bachelor's,f,other,1,30,1,6,0,0,47,1
62742,Finance,region_32,Bachelor's,m,sourcing,1,28,2,4,0,0,59,1
33619,Technology,region_2,Master's & above,m,sourcing,1,46,5,10,1,0,76,1
41212,Procurement,region_7,Bachelor's,m,sourcing,1,27,2,2,0,0,69,1
40204,Sales & Marketing,region_11,Bachelor's,m,sourcing,1,34,2,5,0,0,47,1
59131,Analytics,region_19,Bachelor's,m,sourcing,2,32,5,3,1,0,86,1
12559,Operations,region_22,Bachelor's,f,other,1,35,5,10,0,0,63,1
30433,Procurement,region_27,Bachelor's,m,other,1,36,4,3,1,0,66,1
13150,Procurement,region_2,Master's & above,f,other,1,58,1,13,0,0,70,1
9616,Finance,region_31,Bachelor's,m,other,1,29,4,4,0,0,57,1
26563,Procurement,region_2,Bachelor's,f,referred,1,33,3,3,1,0,67,1
38331,Operations,region_16,Bachelor's,f,other,1,32,5,6,0,0,62,1
18651,Legal,region_22,Below Secondary,m,other,1,25,5,2,1,0,59,1
45004,Procurement,region_13,Bachelor's,m,other,4,41,2,9,0,0,68,1
11892,Procurement,region_12,Bachelor's,f,other,1,25,,1,1,0,69,1
16859,Analytics,region_2,Master's & above,m,other,1,50,1,7,0,1,79,1
26107,Sales & Marketing,region_26,Bachelor's,m,other,1,30,1,7,0,0,53,1
22511,Technology,region_24,Bachelor's,m,sourcing,1,28,,1,0,0,81,1
22865,Analytics,region_20,Master's & above,m,other,1,40,5,5,0,1,83,0
67467,Finance,region_2,Below Secondary,f,other,1,26,3,2,0,0,61,1
2268,Technology,region_13,Bachelor's,m,other,1,35,5,8,1,0,81,1
33517,Sales & Marketing,region_7,Master's & above,m,other,1,37,3,7,1,0,52,1
27605,Operations,region_22,Master's & above,m,other,1,34,3,3,0,0,75,0
69349,Operations,region_8,Bachelor's,m,sourcing,1,25,3,2,0,0,57,1
45496,Sales & Marketing,region_2,,m,other,1,22,5,2,0,0,62,0
66262,Procurement,region_2,Bachelor's,f,other,2,26,5,2,1,0,68,0
55425,Technology,region_2,Bachelor's,f,other,1,31,4,7,1,0,80,1
29543,Finance,region_2,Bachelor's,m,sourcing,4,31,5,3,1,0,60,1
36547,Analytics,region_25,Bachelor's,m,sourcing,1,32,3,6,1,0,86,1
11205,Sales & Marketing,region_19,Bachelor's,m,sourcing,1,36,5,8,0,0,48,1
469,Technology,region_2,Bachelor's,f,sourcing,1,57,3,19,0,0,81,1
44703,Sales & Marketing,region_2,Bachelor's,f,sourcing,1,42,4,9,0,0,51,1
14847,Sales & Marketing,region_20,Bachelor's,m,other,1,28,3,3,0,0,48,1
43689,Analytics,region_12,Bachelor's,m,sourcing,2,33,4,3,1,0,86,1
72157,Analytics,region_2,Bachelor's,m,sourcing,1,41,3,3,0,0,86,1
74579,Operations,region_2,Below Secondary,m,other,2,26,,1,0,0,61,1
51544,Procurement,region_12,Bachelor's,f,other,1,32,5,5,0,1,84,0
5128,Operations,region_2,,m,other,1,48,3,8,0,0,57,1
37952,Operations,region_26,Master's & above,m,other,1,41,3,7,0,0,58,1
39914,Technology,region_2,Master's & above,m,other,1,31,5,4,1,0,82,1
74332,Sales & Marketing,region_26,Bachelor's,m,other,1,37,4,5,0,0,54,1
42886,Analytics,region_29,Bachelor's,m,other,1,30,1,4,0,0,84,1
53988,Finance,region_2,Below Secondary,m,other,1,26,5,2,1,0,60,1
49775,Sales & Marketing,region_13,Bachelor's,m,sourcing,1,44,5,11,0,0,42,1
